Declaration date,,Declaration date,,
8/26/09,,40051.00 ,,
12/11/08,,39793.00 ,,
5/11/10,,40309.00 ,,
7/9/09,,40003.00 ,,
10/24/06,,39014.00 ,,
6/24/10,,40353.00 ,,
9/3/10,,40424.00 ,,
3/23/11,,40625.00 ,,
1/12/10,,40190.00 ,,
12/11/06,,39062.00 ,,
1/26/10,,40204.00 ,,
10/19/06,,39009.00 ,,
8/27/09,,40052.00 ,,
12/14/10,,40526.00 ,,
12/14/05,,38700.00 ,,
5/12/10,,40310.00 ,,
9/20/10,,40441.00 ,,
9/29/10,,40450.00 ,,
6/3/10,,40332.00 ,,
9/21/10,,40442.00 ,,
1/23/08,,39470.00 ,,
5/13/09,,39946.00 ,,
4/19/10,,40287.00 ,,
12/9/10,,40521.00 ,,
8/1/06,,38930.00 ,,
3/13/07,,39154.00 ,,
12/29/09,,40176.00 ,,
6/14/11,,40708.00 ,,
4/4/07,,39176.00 ,,
12/16/10,,40528.00 ,,
1/8/08,,39455.00 ,,
6/27/08,,39626.00 ,,
5/12/11,,40675.00 ,,
5/12/11,,40675.00 ,,
12/9/09,,40156.00 ,,
3/25/11,,40627.00 ,,
10/29/08,,39750.00 ,,
11/14/08,,39766.00 ,,
11/30/09,,40147.00 ,,
10/22/08,,39743.00 ,,
11/13/08,,39765.00 ,,
10/20/08,,39741.00 ,,
9/20/10,,40441.00 ,,
4/29/09,,39932.00 ,,
3/30/10,,40267.00 ,,
12/28/10,,40540.00 ,,
9/29/10,,40450.00 ,,
1/25/10,,40203.00 ,,
12/9/09,,40156.00 ,,
7/8/10,,40367.00 ,,
6/26/09,,39990.00 ,,
6/3/10,,40332.00 ,,
5/30/08,,39598.00 ,,
6/26/09,,39990.00 ,,
12/16/08,,39798.00 ,,
11/18/08,,39770.00 ,,
6/19/06,,38887.00 ,,
12/9/09,,40156.00 ,,
7/8/10,,40367.00 ,,
10/12/10,,40463.00 ,,
5/31/11,,40694.00 ,,
12/11/08,,39793.00 ,,
7/16/10,,40375.00 ,,
1/11/10,,40189.00 ,,
1/16/09,,39829.00 ,,
8/26/09,,40051.00 ,,
8/26/09,,40051.00 ,,
1/25/06,,38742.00 ,,
12/11/08,,39793.00 ,,
8/5/10,,40395.00 ,,
10/12/10,,40463.00 ,,
3/23/11,,40625.00 ,,
8/29/06,,38958.00 ,,
4/29/09,,39932.00 ,,
5/13/11,,40676.00 ,,
10/23/06,,39013.00 ,,
10/23/06,,39013.00 ,,
9/3/07,,39328.00 ,,
4/29/09,,39932.00 ,,
7/9/09,,40003.00 ,,
6/14/11,,40708.00 ,,
12/22/08,,39804.00 ,,
9/3/10,,40424.00 ,,
1/30/11,,40573.00 ,,
11/18/08,,39770.00 ,,
8/10/10,,40400.00 ,,
1/25/06,,38742.00 ,,
11/30/09,,40147.00 ,,
10/22/08,,39743.00 ,,
