time,amount,internalization,outsourcing,if the sitting date time after 2006,year,if the buyer is a bank,export,export to OECD,if the buyer is a chinese organization,classification of the buyer,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,if the seller belongs to IT industry,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Turnover,money,installment,paystyle,payment method
730d,2,0,1,0,2005,0,0,0,1,4,1,0,0,2,1,0,1,0,3,0,0,1,3,0,0,1,3,commission payment
730d,2,0,1,0,2005,0,0,0,1,4,1,0,0,2,1,0,1,0,3,0,0,1,3,0,0,1,3,commission payment
729d,2,0,1,1,2006,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
29d,2,0,1,1,2006,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
205d,2,0,1,1,2006,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
364d,2,0,1,1,2008,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
364d,2,0,1,1,2008,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
364d,2,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
199d,1,0,1,1,2006,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
364d,1,0,1,1,2006,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
248d,1,0,1,1,2006,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
365d,1,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
182d,1,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
31d,1,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
365d,1,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
914d,1,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,1,0,3,1,0,0,2,0,0,1,3,commission payment
365d,1,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
92d,1,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
60d,1,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
214d,1,0,1,1,2008,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
92d,1,0,1,1,2008,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,1,Installment payment
364d,1,0,1,1,2008,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
365d,1,0,1,1,2008,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
365d,1,0,1,1,2008,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
434d,1,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
914d,1,1,0,1,2010,0,0,0,1,4,0,0,1,3,1,1,0,0,2,0,1,0,1,0,0,1,3,commission payment
31d,6,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,1000,1000,0,2,One time payment
180d,6,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,1000,1000,1,3,commission payment
1d,3,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,1000,1000,0,2,One time payment
6d,5,0,1,1,2008,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,1260,1260,0,2,One time payment
16d,1,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,1500,1500,0,2,One time payment
30d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,1500,1500,0,2,One time payment
30d,1,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,1600,1600,0,2,One time payment
31d,1,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,1600,1600,0,2,One time payment
30d,6,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2000,2000,0,2,One time payment
30d,6,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2000,2000,0,2,One time payment
30d,3,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2000,2000,0,2,One time payment
30d,3,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2000,2000,0,2,One time payment
30d,3,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2000,2000,0,2,One time payment
30d,3,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2000,2000,1,3,commission payment
30d,3,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2000,2000,1,3,commission payment
30d,1,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2000,2000,0,2,One time payment
33d,1,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2000,2000,0,2,One time payment
29d,1,0,1,1,2008,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2000,2000,0,2,One time payment
29d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2000,2000,1,3,commission payment
30d,1,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2000,2000,0,2,One time payment
30d,20,0,1,1,2010,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2250,2250,1,3,commission payment
35d,1,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2400,2400,0,2,One time payment
365d,1,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,1,0,0,2,0,1,0,1,2400,2400,0,2,One time payment
394d,1,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,1,0,0,2,0,1,0,1,2400,2400,0,2,One time payment
13d,5,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,2520,2520,0,2,One time payment
